뉴스 url,제목,내용요약,날짜
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567769&plink=RSSLINK&cooper=RSSREADER,"민주, 내일 선대위 출범…'이재명 이해찬 김부겸' 3톱 체제",선거가 한 달 앞으로 임박하고 공천 작업도 마무리 국면인 만큼 내일 당 선거대책위원회를 출범시켜 본격적인 선거 체제로 당을 공식 전환하기로 했습니다.,"Mon, 11 Mar 2024 16:36:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567743&plink=RSSLINK&cooper=RSSREADER,"국민의힘 비대위, '5·18 폄훼 논란' 도태우 공천 놓고 논쟁",국민의힘 비상대책위원들은 오늘 오전 서울 여의도 당사에서 열린 비공개회의에서 도 변호사가 지난 2019년 5·18 민주화운동 북한 개입설을 주장했다는 논란과 함께 도 후보자의 공천 철회 문제를 놓고 논쟁을 벌였습니다.,"Mon, 11 Mar 2024 16:24:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567409&plink=RSSLINK&cooper=RSSREADER,"'채 상병 수사 외압 의혹' 이종섭 전 장관 출국…""국내 압송해야"" vs  ""수사에 충분히 협조""",'SBS &lt;편상욱의 뉴스브리핑&gt;' ■ 방송 : SBS &lt;편상욱의 뉴스브리핑&gt; 월~금  ■ 진행 : 편상욱 앵커 ■ 대담 : 이종근…,"Mon, 11 Mar 2024 16:39:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567408&plink=RSSLINK&cooper=RSSREADER,"새로운미래 이낙연, 광주 광산을 출마…'친명' 민형배와 승부",'SBS &lt;편상욱의 뉴스브리핑&gt;' ■ 방송 : SBS &lt;편상욱의 뉴스브리핑&gt; 월~금  ■ 진행 : 편상욱 앵커 ■ 대담 : 이종근…,"Mon, 11 Mar 2024 16:11:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567407&plink=RSSLINK&cooper=RSSREADER,민주당 추미애·전현희·이언주 '여전사 3인방' 수도권 본선행…당선 가능성은?,'SBS &lt;편상욱의 뉴스브리핑&gt;' ■ 방송 : SBS &lt;편상욱의 뉴스브리핑&gt; 월~금  ■ 진행 : 편상욱 앵커 ■ 대담 : 이종근…,"Mon, 11 Mar 2024 16:11:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567406&plink=RSSLINK&cooper=RSSREADER,"결선서 이영 러브콜 경쟁…이혜훈 ""총명한 정치인"" 하태경 ""비전·꿈 함께""",'SBS &lt;편상욱의 뉴스브리핑&gt;' ■ 방송 : SBS &lt;편상욱의 뉴스브리핑&gt; 월~금  ■ 진행 : 편상욱 앵커 ■ 대담 : 이종근…,"Mon, 11 Mar 2024 16:10:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567405&plink=RSSLINK&cooper=RSSREADER,"이재명, '2찍' 발언에 사과…장예찬, 과거 '난교' 언급 해명",'SBS &lt;편상욱의 뉴스브리핑&gt;' ■ 방송 : SBS &lt;편상욱의 뉴스브리핑&gt; 월~금  ■ 진행 : 편상욱 앵커 ■ 대담 : 이종근…,"Mon, 11 Mar 2024 16:10:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567404&plink=RSSLINK&cooper=RSSREADER,"양당 대표간 직접 난타전…한동훈 ""종북세력 저지"" 이재명 ""민주파괴 심판""",'SBS &lt;편상욱의 뉴스브리핑&gt;' ■ 방송 : SBS &lt;편상욱의 뉴스브리핑&gt; 월~금  ■ 진행 : 편상욱 앵커 ■ 대담 : 이종근…,"Mon, 11 Mar 2024 15:21:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567529&plink=RSSLINK&cooper=RSSREADER,"윤 대통령 ""소양강댐 냉각수로 데이터센터 전력 소비 줄여 시너지 창출""","윤석열 대통령은 강원 춘천 봄내체육관에서 열린 '강원 수열에너지 클러스터 착공식'에 참석해 소양강댐의 심층수를 냉각수로 활용해 데이터센터의 전력 소비를 획기적으로 줄일 수 있다며 ""이 클러스터가 첨단 산업의 전진기지가 될 것""이라고 밝혔습니다.","Mon, 11 Mar 2024 14:48:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567512&plink=RSSLINK&cooper=RSSREADER,"김부겸, 선대위 합류…""친명·친문 이런 말들 스스로 버리자""","김 전 총리는 오늘 오후 기자회견을 열어 ""선대위에 합류해 달라는 당의 요청을 받아들이기로 했다""고 말했습니다. 김 전 총리는 우선 ""국무총리직을 마치면서 정치인과 공직자로서의 여정을 멈춘다고 말씀드렸다.","Mon, 11 Mar 2024 15:08:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567492&plink=RSSLINK&cooper=RSSREADER,"국민의힘 이채익 ""총선 불출마…'무소속 출마 암시글' 죄송""","4·10 총선 공천에서 사실상 컷오프되자 탈당 후 무소속 출마를 시사했던 국민의힘 이채익 의원이 불출마를 선언했습니다. 이 의원은 오늘 국회에서 기자회견을 열어 ""지금까지 단 한 번도 당을 떠난 적이 없고 국민의힘은 나의 전부였다""며 ""고심 끝에 총선에 불출마하기로 했다""고 밝혔습니다.","Mon, 11 Mar 2024 14:30:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567471&plink=RSSLINK&cooper=RSSREADER,"가수 리아 · 이규원 검사, 조국혁신당 입당",대표곡 '눈물'로 유명한 리아는 지난 대선 당시 후보였던 더불어민주당 이재명 대표의 등장곡을 부르는 등 이 대표 캠프에서 활동한 바 있습니다.,"Mon, 11 Mar 2024 14:24:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567467&plink=RSSLINK&cooper=RSSREADER,"새미래, 김종민 · 홍영표 공동선대위원장…이낙연 · 김종민 공천","상임 선대위원장은 김종민·홍영표 의원, 공동선대위원장은 박영순·박원석·김영선·신경민·양소영 책임위원이 맡기로 했습니다. 이낙연 대표는 상임고문으로 임명됐습니다.","Mon, 11 Mar 2024 14:24:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567187&plink=RSSLINK&cooper=RSSREADER,"[D리포트] 사퇴 선언 13일 만에 복귀한 고민정…""차이보다 공통점 봐야""",[고민정/민주당 최고위원  : 저는 오늘부로 최고위원직에서 물러나겠습니다.] 민주당 내 공천 갈등과 총선 전략의 부재를 지적하며 최고위원직 사퇴를 선언했던 고민정 의원이 오늘 최고위 회의에 복귀했습니다.,"Mon, 11 Mar 2024 14:08:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567444&plink=RSSLINK&cooper=RSSREADER,'교사가 학원 뒷돈 받고 문제 거래' 사실로 드러나…56명 수사요청,사교육 업체와 유착한 현직 교사들이 모의고사 문제를 제공하고 금품을 받는다는 이른바 '사교육 카르텔' 의혹이 감사원 감사에서 사실로 확인됐습니다.,"Mon, 11 Mar 2024 14:38:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567391&plink=RSSLINK&cooper=RSSREADER,"고민정, 최고위 복귀…""생각 달라도 같은 목표 향해 연대해야""",고 최고위원은 이날 오전 국회에서 열린 최고위원회의에 참석했습니다. 공천 갈등이 고조되던 지난달 27일 최고위원직 사의를 밝힌 지 13일 만입니다.,"Mon, 11 Mar 2024 13:40:00 +0900"
