뉴스  url,제목,내용,날짜
http://news.kbs.co.kr/news/view.do?ncd=7910541,중증환자들 “전공의 돌아와야”…“암 4기인데 치료 못 받아” 사례 소개도,전공의 집단 사직 사태가 장기화하자 중증환자들이 기자회견을 열고 의료 현장 복귀를 호소했습...,2024.03.11 (18:15)
http://news.kbs.co.kr/news/view.do?ncd=7910540,"검찰, ‘강남 납치·살해’ 일당 4명 항소심서도 사형 구형",검찰이 이른바 ‘강남 납치·살해’ 사건에 적극 가담한 혐의를 받는 4명에게 항소심에서도 사...,2024.03.11 (18:15)
http://news.kbs.co.kr/news/view.do?ncd=7910539,"고 손명순 여사, 현충원 YS 묘역에 합장",김영삼 전 대통령의 부인 고 손명순 여사의 영결식이 오늘 국립서울현충원에서 진행됐습니다.영...,2024.03.11 (18:14)
http://news.kbs.co.kr/news/view.do?ncd=7910538,"금감원, 홍콩 ELS 배상기준 발표…“판매사·투자자별 차등 적용 0~100%”", [앵커]올해 초 두 눈을 질끈 감고 금융감독원 앞에서 삭발을 한 투자자들입니다. 홍콩 H...,2024.03.11 (18:11)
http://news.kbs.co.kr/news/view.do?ncd=7910537,“군의관·공보의 투입” vs “지역주민·군인 생명 경시”, [앵커] 정부가 복귀 명령을 거부한 전공의 5천 명에게 행정처분 사전 통지서를 발송했습니...,2024.03.11 (18:08)
http://news.kbs.co.kr/news/view.do?ncd=7910536,‘논란의 수능23번’…“평가원 사전검증 못하고 사후 이의제기는 뭉개”, [앵커]작년에 치른 2024학년도 수학능력시험은 난도가 높은 '불수능'으로 평가받고 있습...,2024.03.11 (18:06)
http://news.kbs.co.kr/news/view.do?ncd=7910535,인천 부평구서 교통사고…초등학생 1명 다쳐,오늘(11일) 오후 3시 반쯤 인천 부평구 청천오거리에서 1톤 트럭이 길을 건너던 초등학생...,2024.03.11 (18:05)
http://news.kbs.co.kr/news/view.do?ncd=7910534,[총선] 야 “외교·법무 장관 고발·탄핵”…충남서 표심 몰이," [앵커] 더불어민주당은 이종섭 호주 대사 내정자가 출국한 것을 두고 ""국가 권력을 이용한...",2024.03.11 (18:03)
http://news.kbs.co.kr/news/view.do?ncd=7910533,[총선] 여 “‘이재명 셀프공천’이 패륜공천…위성정당으로 ‘종북횡재’”, [앵커] 국민의힘은  이재명 대표가 스스로를 공천한 것이야말로 패륜공천이라며 민주당 공세...,2024.03.11 (18:01)
http://news.kbs.co.kr/news/view.do?ncd=7910532,"‘꿈의 배터리’, ‘게임 체인저’라는 이 배터리…정부 “1천억 투입”","최근 인공지능(AI)과 함께 국내외 시장에서 가장 주목받고 있는 분야, 바로 배터리입니다....",2024.03.11 (18:00)
http://news.kbs.co.kr/news/view.do?ncd=7910531,"경기 일으킨 9살 아이, 순찰차로 5분 만에 병원 이송",서울의 한 지구대 경찰관이 경기를 일으키는 9살 아이를 신속히 병원으로 이송했습니다. 지난...,2024.03.11 (18:00)
http://news.kbs.co.kr/news/view.do?ncd=7910529,"화성시, 남양호 유역에 2만t 저수 인공습지 조성…2027년 준공",경기 화성시는 인공 담수호인 남양호 수질 개선을 위해 오는 2027년까지 인근에 2만톤 가...,2024.03.11 (17:40)
http://news.kbs.co.kr/news/view.do?ncd=7910528,"[총선] 한동훈 “도태우 발언 재검토해야”…공관위, 내일 공천 재논의키로",한동훈 국민의힘 비상대책위원장은 당 공천관리위원회에 도태우 변호사의 과거 5·18 민주화 ...,2024.03.11 (17:33)
http://news.kbs.co.kr/news/view.do?ncd=7910527,"내일 전국에 비 확대…강원, 경북산지 눈",전국이 대체로 흐린 가운데 오늘밤에는 중부지방에 빗방울이 떨어지겠습니다.    내일은 새벽...,2024.03.11 (17:26)
http://news.kbs.co.kr/news/view.do?ncd=7910526,대한예방의학회 “혼란 지속 시 정책 효과 발휘 전에 필수의료 붕괴”,대한예방의학회가 의대 증원 문제로 혼란이 이어진다면 정부 정책이 효과를 발휘하기도 전에 필...,2024.03.11 (17:26)
http://news.kbs.co.kr/news/view.do?ncd=7910523,"코스피 2,659.84 코스닥 875.93",,2024.03.11 (17:25)
http://news.kbs.co.kr/news/view.do?ncd=7910522,"중국 양회, 시진핑 연설없이 폐막…‘총리 권한 축소’ 국무원조직법 통과",중국 최대 정치행사 양회(전국인민대표대회와 전국인민정치협상회의)가 11일 전인대 폐막식을 ...,2024.03.11 (17:24)
http://news.kbs.co.kr/news/view.do?ncd=7910521,영화 ‘오펜하이머’ 아카데미 7관왕,천재과학자 로버트 오펜하이머를 다룬 크리스토퍼 놀런 감독의 영화 '오펜하이머'가 올해 미국...,2024.03.11 (17:24)
http://news.kbs.co.kr/news/view.do?ncd=7910520,"무법천지 아이티, 서방 대사관 탈출 러시…부켈레가 지원?",,2024.03.11 (17:22)
http://news.kbs.co.kr/news/view.do?ncd=7910519,시진핑 관저에 차량 돌진…중국 양회 폐막, [앵커] 중국 최대 정치 행사 양회 폐막을 앞두고  시진핑 주석 관저를 향해 차량이 돌진...,2024.03.11 (17:20)
http://news.kbs.co.kr/news/view.do?ncd=7910518,"녹색정의당, 윤 대통령·법무장관 고발…“범인도피·직권남용”",녹색정의당은 ‘해병대 채상병 사건 수사 외압 의혹’으로 수사를 받은 이종섭 전 국방부 장관...,2024.03.11 (17:19)
http://news.kbs.co.kr/news/view.do?ncd=7910517,"무한경쟁 전기차, 중국 업체는 침대도 넣고 드론도 띄우고","전기차 무한경쟁 속에 중국 전기차 회사들이 침대에 주방, 드론 등 다양한 기능을 탑재한 신...",2024.03.11 (17:19)
http://news.kbs.co.kr/news/view.do?ncd=7910515,"조국혁신당, 윤 대통령·외교장관 등 고발…가수 리아·이규원 검사 영입",조국혁신당은 '해병대 채상병 사건 수사 외압 의혹'으로 수사를 받은 이종섭 전 국방부 장관...,2024.03.11 (17:19)
http://news.kbs.co.kr/news/view.do?ncd=7910514,"비트코인, 국내 거래소서 장중 1억 원 ‘터치’",비트코인(BTC) 가격이 국내 가상자산 거래소에서 장중 1억 원을 넘겼습니다. 오늘(11일...,2024.03.11 (17:19)
http://news.kbs.co.kr/news/view.do?ncd=7910513,[크랩] 밥 한 숟갈=고기 한 입? 한국 연구진이 개발한 ‘쇠고기 쌀’,"최근 국내 연구진이 일반 쌀보다 단백질이 8%, 지방은 7% 더 많은 쇠고기 쌀을 개발했다...",2024.03.11 (17:18)
